MRJD, smoothRV(m/s), error(m/s)
16277.603438, +2.11729, 0.9953 
16277.622211, +2.27269, 1.0131 
16278.528171, +2.18214, 1.0042 
16278.546829, +2.46006, 0.9382 
16278.582824, +2.50739, 1.0285 
16278.609734, +2.51190, 1.0550 
16279.517164, +2.59365, 1.0417 
16279.554097, +2.86301, 1.1188 
16279.610359, +3.23289, 1.0043 
16279.652743, +3.25849, 1.1020 
16280.587998, +3.27034, 1.1192 
16280.643970, +3.50879, 1.1284 
16282.536979, +3.39365, 0.9648 
16282.579063, +3.61823, 0.9538 
16282.657222, +3.44603, 0.9324 
16282.671181, +3.29870, 0.9209 
16283.544433, +3.00921, 0.9709 
16283.616586, +2.52258, 0.9840 
16283.638472, +2.50384, 0.9933 
16283.681493, +2.17948, 0.9741 
16284.529803, +2.28542, 1.1654 
16284.578449, +2.12233, 0.9838 
16284.599491, +2.41861, 0.9466 
16284.654884, +3.03645, 0.9629 
16285.525081, +3.45766, 0.9861 
16285.557697, +3.10004, 0.9343 
16285.646389, +2.22091, 0.9934 
16288.521863, +2.28546, 0.9217 
16288.560972, +2.27597, 0.9207 
16288.643148, +1.74033, 0.8936 
16289.522164, +1.46088, 1.0150 
16289.581840, +1.64262, 0.9942 
16289.603900, +1.94353, 0.9632 
16289.619340, +1.63641, 1.0550 
16290.518762, +1.16697, 0.9739 
16290.559826, +1.17391, 0.9355 
16290.582095, +0.06773, 0.9574 
16290.642049, -0.45470, 0.8971 
16291.518704, -0.96015, 0.9309 
16291.557199, -1.49455, 0.9824 
16291.642315, -2.07141, 1.0377 
16295.589190, -3.05402, 1.1154 
16295.612708, -2.90058, 1.1571 
16295.636296, -2.64146, 1.1853 
16296.532998, -2.55421, 0.9315 
16296.544618, -2.42144, 1.0079 
16296.574294, -2.18823, 1.0560 
16296.589375, -1.61894, 1.0378 
16297.525764, -1.53182, 1.0375 
16297.563704, -1.79039, 0.9563 
16298.526771, -1.96103, 1.0203 
16298.586910, -2.09268, 0.8726 
16298.608287, -2.10883, 0.9918 
16298.622419, -1.86247, 0.9039 
16299.531169, -1.53749, 0.9948 
16299.562755, -1.26431, 0.9764 
16299.590984, -1.19408, 0.9516 
16299.618472, -1.63880, 1.0229 
16304.529352, -1.87713, 1.0964 
16304.555532, -1.99300, 1.1191 
16304.592338, -2.20142, 1.0757 
16304.604664, -2.46492, 1.1422 
16305.529838, -2.56086, 1.1453 
16305.551829, -1.56295, 1.1799 
16305.574491, -0.73027, 1.1612 
16307.531238, -0.95457, 1.1094 
16307.555023, -0.49010, 1.1221 
16307.579178, +0.02762, 1.1497 
16308.521562, +0.82749, 1.1120 
16308.543113, +0.52487, 1.1511 
16309.527604, +0.50086, 1.0304 
16309.550162, +0.97994, 1.0435 
16310.540498, +0.95836, 1.0763 
16310.561389, +0.78153, 1.1068 
16311.528032, +0.25403, 1.5080 
16311.552604, +0.43757, 1.1820 
16311.576065, +0.28430, 1.2073 
16312.534815, -0.03099, 1.1153 
16312.570405, -0.34919, 1.2197 
16314.543449, -0.28801, 1.1065 
16314.554005, +0.41966, 1.1371 
16314.574259, +1.24049, 1.1360 
16316.535868, +1.62976, 1.0881 
16316.546644, +2.20468, 1.0350 
16316.572257, +2.68124, 1.0248 
16316.582801, +3.07107, 0.9967 
16317.527616, +2.99813, 1.0477 
16317.538356, +3.13598, 1.1135 
16317.566736, +3.09074, 1.1702 
16317.577361, +3.21283, 1.0801 
16318.520197, +2.57675, 1.1307 
16318.530903, +2.34506, 1.0891 
16318.557998, +2.10995, 1.0517 
16318.568588, +1.65406, 1.1256 
16319.523623, +1.78827, 1.1099 
16319.534340, +1.82763, 1.1714 
16319.551539, +2.56897, 1.2901 
16319.561979, +2.62967, 1.1466 
16321.538623, +2.59856, 1.0177 
16321.549456, +1.65788, 1.1085 
16321.570428, +1.18302, 1.0345 
16322.529005, +0.66905, 1.1145 
16322.539711, +0.37257, 0.9657 
16322.565313, +0.00400, 1.0534 
16323.531296, +0.15390, 1.1726 
16323.541771, +1.59928, 1.1702 
16323.570764, +2.43884, 1.0667 
16328.517720, +2.29286, 1.0021 
16328.524792, +1.98089, 1.0283 
16328.531968, +2.71543, 1.0965 
16328.539190, +2.57666, 1.0396 
16328.546111, +1.99380, 1.1410 
16329.518391, +1.70812, 1.1122 
16329.525509, +2.65736, 1.1853 
16329.532593, +2.90856, 1.1985 
16329.539861, +1.86534, 1.2701 
16329.546933, +1.97791, 1.1582 
16330.520069, +1.70665, 1.5304 
16330.528484, +1.45690, 1.4709 
16330.534618, +0.16895, 1.5098 
16330.542060, +0.25522, 1.6605 
16331.527338, +0.76718, 1.5276 
16331.534734, +0.43430, 1.5805 
16331.541192, +1.13985, 1.5754 
16331.548704, +1.17200, 1.7908 
16332.520868, +1.31445, 1.5543 
16332.527998, +1.52641, 1.4492 
16332.535162, +1.34358, 1.3723 
16332.542315, +1.31169, 1.4185 
16332.549421, +0.29583, 1.5059 
16336.517998, -0.14253, 1.2980 
16336.525162, -0.09851, 1.2622 
16336.532396, -0.31338, 1.3665 
16336.539491, -0.67128, 1.3773 
16445.923009, -1.35618, 0.8986 
16445.934028, -1.80289, 0.9149 
16448.920417, -2.26939, 0.9947 
16448.948391, -2.89576, 0.8873 
16457.905266, -3.10846, 1.0554 
16457.946701, -3.03544, 1.0375 
16458.899329, -2.51858, 0.9280 
16458.940845, -2.17927, 0.8963 
16460.946366, -1.95275, 1.1125 
16462.924005, -1.49740, 1.7173 
